movieId,title,genres,poster_url,release_year
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,https://image.tmdb.org/t/p/w500//uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,1995
2,Jumanji (1995),Adventure|Children|Fantasy,https://image.tmdb.org/t/p/w500//vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg,1995
3,Grumpier Old Men (1995),Comedy|Romance,https://image.tmdb.org/t/p/w500//1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg,1995
4,Waiting to Exhale (1995),Comedy|Drama|Romance,https://image.tmdb.org/t/p/w500//qJU6rfil5xLVb5HpJsmmfeSK254.jpg,1995
5,Father of the Bride Part II (1995),Comedy,https://image.tmdb.org/t/p/w500//lf9RTErt8BSLQy98aSFblElvsCQ.jpg,1995
6,Heat (1995),Action|Crime|Thriller,https://image.tmdb.org/t/p/w500//umSVjVdbVwtx5ryCA2QXL44Durm.jpg,1995
7,Sabrina (1995),Comedy|Romance,https://image.tmdb.org/t/p/w500//z1oNjotUI7D06J4LWQFQzdIuPnf.jpg,1995
8,Tom and Huck (1995),Adventure|Children,https://image.tmdb.org/t/p/w500//vIG8hWOa7DyLMRiurzKwVAnIYoU.jpg,1995
9,Sudden Death (1995),Action,https://image.tmdb.org/t/p/w500//1pylO6YX5XdOA6QCc5IRxrrffkg.jpg,1995
10,GoldenEye (1995),Action|Adventure|Thriller,https://image.tmdb.org/t/p/w500//z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg,1995
11,"American President, The (1995)",Comedy|Drama|Romance,https://image.tmdb.org/t/p/w500//yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg,1995
12,Dracula: Dead and Loving It (1995),Comedy|Horror,https://image.tmdb.org/t/p/w500//4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg,1995
13,Balto (1995),Adventure|Animation|Children,https://image.tmdb.org/t/p/w500//dCVcdb5oxDizqFLz0F7TE60NoC9.jpg,1995
14,Nixon (1995),Drama,https://image.tmdb.org/t/p/w500//cz2MTGr2wpDZLirgV2rGHBdA2t3.jpg,1995
